Objects ID,Player ID,InitialWidth,InitialHeight,InitialDepth,Eye Level,Pedestal Height,Center Height (Pedestal Height+1/2Height),Distance to Surface (Distance-1/2depth),Scaled Height
A5,10,15,16,17,145,118,126,42.5,11
A5,11,15,16,17,141,120,128,35.5,31
A5,12,15,16,17,135,119,127,51.5,38
A5,13,15,16,17,130,100,108,54.5,60
A5,14,15,16,17,140,60,68,100.5,25
A5,15,15,16,17,138,117,125,76.5,24
A5,16,15,16,17,133,113,121,97.5,29
A5,17,15,16,17,137,120,128,47.5,26
A5,18,15,16,17,150,125,133,95.5,47
A5,19,15,16,17,102,91,99,80.5,22
A5,20,15,16,17,107,94,102,46.5,54
A14,1,27,31,27,116,76,91.5,55.5,39
A14,2,27,31,27,113,78,93.5,80.5,41
A14,3,27,31,27,145,124,139.5,46.5,25
A14,4,27,31,27,146,120,135.5,46.5,25
A14,5,27,31,27,141,60,75.5,183.5,50
A14,6,27,31,27,141,105,120.5,51.5,34
A14,7,27,31,27,133,75,90.5,56.5,28
A14,8,27,31,27,148,125,140.5,62.5,33
A14,9,27,31,27,135,98,113.5,45.5,26
A14,10,27,31,27,146,115,130.5,51.5,20
A14,11,27,31,27,142,107,122.5,95.5,24
A14,12,27,31,27,132,105,120.5,14.5,43
A14,13,27,31,27,131,81,96.5,128.5,47
A14,14,27,31,27,140,40,55.5,71.5,22
A14,15,27,31,27,139,104,119.5,86.5,41
A14,16,27,31,27,131,110,125.5,70.5,22
A14,17,27,31,27,136,105,120.5,10.5,28
A14,18,27,31,27,152,132,147.5,76.5,30
A14,19,27,31,27,102,80,95.5,132.5,25
A14,20,27,31,27,108,91,106.5,54.5,45
A17,1,67,83,27,117,68,109.5,72.5,40
A17,2,67,83,27,127,71,112.5,81.5,74
A17,3,67,83,27,146,80,121.5,128.5,29
A17,4,67,83,27,146,79,120.5,128.5,29
A17,5,67,83,27,144,84,125.5,241.5,19
A17,6,67,83,27,140,60,101.5,87.5,22
A17,7,67,83,27,134,81,122.5,66.5,39
A17,8,67,83,27,141,88,129.5,49.5,51
A17,9,67,83,27,137,62,103.5,88.5,34
A17,10,67,83,27,146,81,122.5,108.5,19
A17,11,67,83,27,146,92,133.5,87.5,19
A17,12,67,83,27,134,81,122.5,66.5,73
